"ShortName","ImageDate","LocationName","UTM_E","UTM_N","UTMZone","StatusID","StudyAreaAbbr","FileName"
"dog",8/13/2018 9:37:44,"U-ED04",411935.56,3741156.32,"11 S",1,"AN","08130907.JPG"
"dog",6/14/2018 3:56:05,"U-ED03",410270.00,3741162.47,"11 S",1,"ST","EK006250.JPG"
"dog",6/18/2018 18:04:11,"SU-OCP03",429576.36,3737227.88,"11 S",1,"OR","EK000970.JPG"
"dog",6/19/2018 11:23:57,"SU-OCP03",429576.36,3737227.88,"11 S",1,"OR","EK001158.JPG"
"dog",7/13/2018 19:18:26,"SU-OCP03",429576.36,3737227.88,"11 S",1,"OR","EK000220.JPG"
"dog",7/15/2018 9:16:55,"SU-OCP03",429576.36,3737227.88,"11 S",1,"OR","EK000376.JPG"
"dog",7/16/2018 19:02:29,"SU-OCP03",429576.36,3737227.88,"11 S",1,"OR","EK000538.JPG"
"dog",7/17/2018 7:26:50,"SU-OCP03",429576.36,3737227.88,"11 S",1,"OR","EK000556.JPG"
"dog",7/18/2018 9:42:17,"SU-OCP03",429576.36,3737227.88,"11 S",1,"OR","EK000670.JPG"
"dog",7/19/2018 9:35:22,"SU-OCP03",429576.36,3737227.88,"11 S",1,"OR","EK000748.JPG"
"dog",7/21/2018 9:47:19,"SU-OCP03",429576.36,3737227.88,"11 S",1,"OR","EK000903.JPG"
"dog",7/22/2018 8:24:35,"SU-OCP03",429576.36,3737227.88,"11 S",1,"OR","EK000985.JPG"
"dog",8/3/2018 10:01:53,"SU-OCP03",429576.36,3737227.88,"11 S",1,"OR","EK001205.JPG"
"dog",8/7/2018 19:49:59,"SU-OCP03",429576.36,3737227.88,"11 S",1,"OR","EK001701.JPG"
"dog",8/8/2018 5:46:31,"SU-OCP03",429576.36,3737227.88,"11 S",1,"OR","EK001706.JPG"
"dog",8/11/2018 6:26:55,"SU-OCP03",429576.36,3737227.88,"11 S",1,"OR","EK001851.JPG"
"dog",6/14/2018 3:56:07,"U-ED03",410270.00,3741162.47,"11 S",1,"ST","EK006252.JPG"
"dog",6/10/2018 7:42:32,"U-ED03",410270.00,3741162.47,"11 S",1,"ST","EK001564.JPG"
"dog",6/10/2018 7:51:01,"U-ED03",410270.00,3741162.47,"11 S",1,"ST","EK001567.JPG"
"dog",6/4/2018 7:13:12,"U-ED03",410270.00,3741162.47,"11 S",1,"ST","EK005692.JPG"
"dog",6/4/2018 7:14:05,"U-ED03",410270.00,3741162.47,"11 S",1,"ST","EK005695.JPG"
"dog",6/14/2018 3:50:38,"U-ED03",410270.00,3741162.47,"11 S",1,"ST","EK006241.JPG"
"dog",6/14/2018 3:50:39,"U-ED03",410270.00,3741162.47,"11 S",1,"ST","EK006242.JPG"
"dog",6/14/2018 3:50:51,"U-ED03",410270.00,3741162.47,"11 S",1,"ST","EK006244.JPG"
"dog",6/14/2018 3:50:52,"U-ED03",410270.00,3741162.47,"11 S",1,"ST","EK006245.JPG"
"dog",6/14/2018 3:50:53,"U-ED03",410270.00,3741162.47,"11 S",1,"ST","EK006246.JPG"
"dog",8/14/2018 8:14:14,"SU-OCP03",429576.36,3737227.88,"11 S",1,"OR","EK002157.JPG"
"dog",8/15/2018 18:58:38,"SU-OCP03",429576.36,3737227.88,"11 S",1,"OR","EK002296.JPG"
"dog",6/21/2018 17:04:34,"SU-OCP02",429346.21,3738522.31,"11 S",1,"OR","06210126.JPG"
"dog",6/22/2018 10:36:26,"SU-OCP02",429346.21,3738522.31,"11 S",1,"OR","06220136.JPG"
"dog",6/23/2018 13:54:34,"SU-OCP02",429346.21,3738522.31,"11 S",1,"OR","06230265.JPG"
"dog",6/24/2018 17:45:40,"SU-OCP02",429346.21,3738522.31,"11 S",1,"OR","06240040.JPG"
"dog",6/24/2018 12:33:31,"SU-OCP02",429346.21,3738522.31,"11 S",1,"OR","06240412.JPG"
"dog",6/25/2018 14:06:00,"SU-OCP02",429346.21,3738522.31,"11 S",1,"OR","06250013.JPG"
"dog",6/26/2018 8:56:38,"SU-OCP02",429346.21,3738522.31,"11 S",1,"OR","06260028.JPG"
"dog",6/26/2018 6:41:02,"SU-OCP02",429346.21,3738522.31,"11 S",1,"OR","06260871.JPG"
"dog",6/27/2018 7:08:59,"SU-OCP02",429346.21,3738522.31,"11 S",1,"OR","06270337.JPG"
"dog",6/27/2018 11:59:08,"SU-OCP02",429346.21,3738522.31,"11 S",1,"OR","06270738.JPG"
"dog",7/30/2018 18:51:54,"SU-OCP02",429346.21,3738522.31,"11 S",1,"OR","07300140.JPG"
"dog",7/31/2018 7:52:01,"SU-OCP02",429346.21,3738522.31,"11 S",1,"OR","07310281.JPG"
"dog",8/1/2018 8:29:20,"SU-OCP02",429346.21,3738522.31,"11 S",1,"OR","08010609.JPG"
"dog",8/2/2018 19:31:40,"SU-OCP02",429346.21,3738522.31,"11 S",1,"OR","08020093.JPG"
"dog",8/3/2018 8:37:26,"SU-OCP02",429346.21,3738522.31,"11 S",1,"OR","08030172.JPG"
"dog",8/4/2018 6:57:07,"SU-OCP02",429346.21,3738522.31,"11 S",1,"OR","08040405.JPG"
"dog",8/5/2018 6:57:22,"SU-OCP02",429346.21,3738522.31,"11 S",1,"OR","08050919.JPG"
"dog",8/7/2018 7:34:24,"SU-OCP02",429346.21,3738522.31,"11 S",1,"OR","08070701.JPG"
"dog",8/8/2018 20:00:40,"SU-OCP02",429346.21,3738522.31,"11 S",1,"OR","08080119.JPG"
"dog",8/10/2018 9:07:43,"SU-OCP02",429346.21,3738522.31,"11 S",1,"OR","08100375.JPG"
"dog",8/11/2018 7:29:56,"SU-OCP02",429346.21,3738522.31,"11 S",1,"OR","08110601.JPG"
"dog",8/12/2018 8:33:52,"SU-OCP02",429346.21,3738522.31,"11 S",1,"OR","08120106.JPG"
"dog",8/13/2018 8:09:33,"SU-OCP02",429346.21,3738522.31,"11 S",1,"OR","08130407.JPG"
"dog",8/14/2018 19:42:58,"SU-OCP02",429346.21,3738522.31,"11 S",1,"OR","08140980.JPG"
"dog",7/21/2018 4:01:39,"U-ED03",410270.00,3741162.47,"11 S",1,"ST","Dog-072118.JPG"
"dog",7/24/2018 4:24:45,"U-ED03",410270.00,3741162.47,"11 S",1,"ST","Dog-072418.JPG"
"dog",7/26/2018 5:01:45,"U-ED03",410270.00,3741162.47,"11 S",1,"ST","Dog-072618.JPG"
"dog",7/21/2018 4:01:29,"U-ED03",410270.00,3741162.47,"11 S",1,"ST","EK000100.JPG"
"dog",7/21/2018 4:01:30,"U-ED03",410270.00,3741162.47,"11 S",1,"ST","EK000101.JPG"
"dog",7/21/2018 4:01:31,"U-ED03",410270.00,3741162.47,"11 S",1,"ST","EK000102.JPG"
"dog",7/21/2018 4:01:40,"U-ED03",410270.00,3741162.47,"11 S",1,"ST","EK000105.JPG"
"dog",7/24/2018 4:24:44,"U-ED03",410270.00,3741162.47,"11 S",1,"ST","EK000151.JPG"
"dog",7/24/2018 4:25:00,"U-ED03",410270.00,3741162.47,"11 S",1,"ST","EK000154.JPG"
"dog",7/24/2018 4:25:01,"U-ED03",410270.00,3741162.47,"11 S",1,"ST","EK000155.JPG"
"dog",7/24/2018 4:25:02,"U-ED03",410270.00,3741162.47,"11 S",1,"ST","EK000156.JPG"
"dog",7/24/2018 4:25:24,"U-ED03",410270.00,3741162.47,"11 S",1,"ST","EK000158.JPG"
"dog",7/26/2018 5:00:33,"U-ED03",410270.00,3741162.47,"11 S",1,"ST","EK000202.JPG"
"dog",8/3/2018 3:17:07,"U-ED03",410270.00,3741162.47,"11 S",1,"ST","EK000354.JPG"
"dog",8/12/2018 4:21:37,"U-ED03",410270.00,3741162.47,"11 S",1,"ST","EK000448.JPG"
"dog",8/12/2018 4:22:36,"U-ED03",410270.00,3741162.47,"11 S",1,"ST","EK000451.JPG"
"dog",6/18/2018 18:04:37,"SU-PW01",427476.33,3739523.52,"11 S",1,"OR","06180280.JPG"
"dog",6/19/2018 13:06:44,"SU-PW01",427476.33,3739523.52,"11 S",1,"OR","06190002.JPG"
"dog",7/17/2018 17:38:32,"SU-PW01",427476.33,3739523.52,"11 S",1,"OR","07170367.JPG"
"dog",7/8/2018 6:32:47,"SU-PW02",428072.74,3738984.29,"11 S",1,"OR","07080688.JPG"
"dog",7/12/2018 21:55:55,"SU-PW02",428072.74,3738984.29,"11 S",1,"OR","07120430.JPG"
"cat",9/23/2018 22:57:32,"U-CaT01",415198.27,3742101.32,"11 S",1,"AN","09230052.JPG"
"cat",9/23/2018 22:57:34,"U-CaT01",415198.27,3742101.32,"11 S",1,"AN","09230053.JPG"
"cat",9/23/2018 22:57:35,"U-CaT01",415198.27,3742101.32,"11 S",1,"AN","09230054.JPG"
"cat",6/14/2018 21:13:50,"U-ED06",419944.87,3741773.44,"11 S",1,"OR","EK000268.JPG"
"cat",6/14/2018 21:13:51,"U-ED06",419944.87,3741773.44,"11 S",1,"OR","EK000269.JPG"
"cat",6/14/2018 21:13:52,"U-ED06",419944.87,3741773.44,"11 S",1,"OR","EK000270.JPG"
"cat",6/14/2018 21:14:06,"U-ED06",419944.87,3741773.44,"11 S",1,"OR","EK000271.JPG"
"cat",6/14/2018 21:14:07,"U-ED06",419944.87,3741773.44,"11 S",1,"OR","EK000272.JPG"
"cat",6/14/2018 21:14:07,"U-ED06",419944.87,3741773.44,"11 S",1,"OR","EK000273.JPG"
"cat",6/15/2018 3:49:44,"U-ED06",419944.87,3741773.44,"11 S",1,"OR","EK000277.JPG"
"cat",6/15/2018 3:49:45,"U-ED06",419944.87,3741773.44,"11 S",1,"OR","EK000278.JPG"
"cat",6/15/2018 3:49:45,"U-ED06",419944.87,3741773.44,"11 S",1,"OR","EK000279.JPG"
"cat",6/15/2018 11:54:16,"U-ED06",419944.87,3741773.44,"11 S",1,"OR","EK000400.JPG"
"cat",6/15/2018 11:54:16,"U-ED06",419944.87,3741773.44,"11 S",1,"OR","EK000401.JPG"
"cat",6/15/2018 11:54:17,"U-ED06",419944.87,3741773.44,"11 S",1,"OR","EK000402.JPG"
"cat",6/15/2018 12:21:21,"U-ED06",419944.87,3741773.44,"11 S",1,"OR","EK000433.JPG"
"cat",6/15/2018 12:21:21,"U-ED06",419944.87,3741773.44,"11 S",1,"OR","EK000434.JPG"
"cat",6/15/2018 12:21:22,"U-ED06",419944.87,3741773.44,"11 S",1,"OR","EK000435.JPG"
"cat",6/15/2018 12:24:52,"U-ED06",419944.87,3741773.44,"11 S",1,"OR","EK000436.JPG"
"cat",6/15/2018 12:24:53,"U-ED06",419944.87,3741773.44,"11 S",1,"OR","EK000437.JPG"
"cat",6/15/2018 12:24:53,"U-ED06",419944.87,3741773.44,"11 S",1,"OR","EK000438.JPG"
"cat",6/15/2018 23:55:59,"U-ED06",419944.87,3741773.44,"11 S",1,"OR","EK000517.JPG"
"cat",6/15/2018 23:55:59,"U-ED06",419944.87,3741773.44,"11 S",1,"OR","EK000518.JPG"
